0	1	                     is so sad for my APL friend.............
0	2	                   I missed the New Moon trailer...
1	3	              omg its already 7:30 :O
0	4	          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
0	5	         i think mi bf is cheating on me!!!       T_T
0	6	         or i just worry too much?        
1	7	       Juuuuuuuuuuuuuuuuussssst Chillin!!
0	8	       Sunny Again        Work Tomorrow  :-|       TV Tonight
1	9	      handed in my uniform today . i miss you already
1	10	      hmmmm.... i wonder how she my number @-)
0	11	      I must think about positive..
1	12	      thanks to all the haters up in my face all day! 112-102
0	13	      this weekend has sucked so far
0	14	     jb isnt showing in australia any more!
0	15	     ok thats it you win.
0	16	    &lt;-------- This is the way i feel right now...
0	17	    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX
1	18	    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
0	19	    HUGE roll of thunder just now...SO scary!!!!
0	20	    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
0	21	    Very sad about Iran.
0	22	    wompppp wompp
1	23	    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
0	24	   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
0	25	   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
0	26	   BoRinG   ): whats wrong with him??     Please tell me........   :-/
0	27	   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
0	28	   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. 
1	29	   goodbye exams, HELLO ALCOHOL TONIGHT 
0	30	   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
0	31	   I hate it when any athlete appears to tear an ACL on live television.
0	32	   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
0	33	  -- Meet your Meat http://bit.ly/15SSCI
0	34	   My horsie is moving on Saturday morning.
0	35	   No Sat off...Need to work 6 days a week 
0	36	   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
0	37	   SOX!     Floyd was great, but relievers need a scolding!
0	38	   times by like a million
1	39	   uploading pictures on friendster 
0	40	   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
0	41	  &amp;&amp;Fightiin Wiit The Babes...
1	42	  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
0	43	  *enough said*
1	44	  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    
1	45	  ... health class (what a joke!)
1	46	  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
0	47	  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
0	48	 - All Time Low shall be my motivation for the rest of the week.
0	49	  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody
0	50	  another year of Lakers .. That's neither magic nor fun ...
0	51	  baddest day eveer. 
1	52	  bathroom is clean..... now on to more enjoyable tasks......
1	53	  boom boom pow
0	54	  but i'm proud.
0	55	  congrats to helio though
0	56	  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
0	57	  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
1	58	  go give ur mom a hug right now. http://bit.ly/azFwv
1	59	  Going To See Harry Sunday Happiness 
0	60	  Hand quilting it is then...
0	61	  hate u ...  leysh t9ar5 ... =((((((( ..
1	62	-  I always get what I want
1	63	  I bend backwards  
1	64	  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
1	65	  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
0	66	 - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
0	67	  I miss Earl
0	68	  I miss New Jersey
0	69	  I missed the first hour of SYTYCD last night, and I can't find it online!
0	70	  I need a U2 fix NOW!
0	71	  I never thought I'd become second choice...
0	72	  I think I may be too friendly...lol... o well...
0	73	  I think Manuel (my Basil plant) only has days to live   
0	74	  I wanna be at home @ church...I wonder wht they are doing?
0	75	  i wanna make my own pizza
0	76	  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x
0	77	  i want a hug
0	78	  I want Miley to tour Australia
0	79	  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
0	80	  i was too slow to get $1 Up tix
0	81	  I will send sunshine to Northern Ireland, are you going swimming today @kezbat
0	82	  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
0	83	  i would be so much happier if the walls of my bedroom were painted white,
0	84	  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
0	85	  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
1	86	  I'm really going to bed now...
0	87	  im sick  'cough cough'
0	88	  in cab headed to the airport!  going home.... &lt;christy&gt;
0	89	  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
1	90	  Jin has a twitter.
0	91	  jonas day is almost over... 
0	92	  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
1	93	  just gonna smile...cuz it is what it is..and im not sure what more they could want..
1	94	  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy.
0	95	 - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
0	96	  mi momacita won't let me go to my bf's bball game!!! grrr!!!
0	97	  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
0	98	  My new car was stolen....by my mother who wanted to go pose at church.
0	99	  no hang out with the girls 2day. 2moro, hope so......
0	100	  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
0	101	  no pavel tonight &lt;Tigersfan &gt;
0	102	  not a cool night.
1	103	  oh thank you!
1	104	  pleased
0	105	  probably guna get off soon since no one is talkin no more
0	106	  really wanted Safina to pull out a win &amp; to lose like that...
0	107	  RIP, David Eddings.
1	108	  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
0	109	 - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
0	110	  so whats the status on next weekend
0	111	  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
0	112	  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
1	113	  Thanks, I need all the help i can get.
1	114	 - that explains alot.
1	115	  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
0	116	  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.
1	117	  trae is so sweet! He just bought me a new baithing suit!! Wove him 
1	118	  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh
0	119	  u guys knw whyy
0	120	  very much so 
0	121	  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
0	122	--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
0	123	  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!
0	124	  where is my picture i feel naked 
0	125	  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
0	126	 - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
0	127	  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
1	128	  wide awake   NOT!!!
1	129	  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
0	130	 - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
0	131	  you'll always be my one and only...  [12*23*2007]
0	132	 #3turnoffwords this shit sucks
0	133	 #asylm J2 panel is over. Guess it's back to normal life.
1	134	 #poemsunder140 ....started by @shannonelyse1
0	135	 #squarespace brighten my bad day! i never win anything...
0	136	 #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!
0	137	 #twenty20
1	138	 &lt;--- That is all, and believe me.. it's enough!
1	139	 &lt;3 goooood timessss
0	140	 &lt;3 GrAdUaTE 09&lt;3
0	141	 &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )
0	142	 &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
0	143	 &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
1	144	 &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
0	145	 &quot;I want you so bad it's driving me  mad&quot;
1	146	 &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
1	147	 &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke
0	148	 &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
0	149	 &quot;well, the truth is I miss you so&quot;- Coldplay
0	150	 (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
0	151	 (unsure) (annoyed) http://plurk.com/p/1230lz
0	152	 (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
0	153	 *BeautifulyLost
0	154	- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
1	155	-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
1	156	-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
0	157	 . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little.
1	158	-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . 
1	159	-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
0	160	 .. i wantt hiim soo badd !!
0	161	 .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend
0	162	 ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
0	163	 ... Rained out truck race
0	164	 ... Why am I feeling worse??? F!!!
0	165	 .... Feeling pain and happiness at the same time. How confusing!
1	166	 ..... hot choco is the best!
0	167	 ....in a shirt and panties. celulite
0	168	 ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
0	169	 ..y everything is so hard? :/
0	170	 .bueno good bye. good night
1	171	 : Beach day with Scoobs. =( : Still no phone.
0	172	 : Let's have fun,. When I give ya what I give ya.
0	173	 :[ I don't want to move!!!
1	174	 :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS
1	175	 @ canaveral national  seashore
1	176	 @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
1	177	 @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
0	178	 @ the train crash in DC .....
1	179	' @ Thestreetforce  '
1	180	 @3sixty5days makes me smile.
1	181	 @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW
1	182	 @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0
1	183	 @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
0	184	 @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
0	185	 @AmericanWomannn Well that sure minimizes the impact...LOL
1	186	 @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy
1	187	 @CharlottegC I just saw ur mum
1	188	 @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
1	189	- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024
1	190	 @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
1	191	' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
1	192	 @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
1	193	 @dandelionas is making fettucini and garlic bread!
1	194	 @danregal  tell @pfont i said Happy BDay!! 
0	195	- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML 
1	196	 @DirtyRose17  told you, you would sweep haha :-p
0	197	 @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
0	198	- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
0	199	 @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?
0	200	- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics
0	201	 @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
0	202	 @Glamicole ..now who wud make this beautiful plc cry?
0	203	 @HaterMagazine: @damienrandle it is now the outer fat kid.
1	204	- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay...
1	205	 @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn
0	206	 @hellopnsdear se MORREA a mi Joseph, no no se vale.
1	207	 @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
1	208	 @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
1	209	 @iamyas awesome
1	210	 @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
1	211	- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
1	212	- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦
0	213	 @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
0	214	- @JuicyJones I know.. SOLD OUT though. 
1	215	- @kaitymarine - watch E3 @MCMudkips - Will do 
1	216	- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
0	217	 @katiedontcry should get on aim and talk to me. i miss her.
1	218	 @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
1	219	 @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y
0	220	 @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
0	221	 @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
1	222	 @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?
0	223	- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* 
0	224	 @lolife4life where r u tonite im still awake!
0	225	 @lorinimus hates Bebot App
1	226	 @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G
1	227	 @MelodyChase
1	228	 @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
1	229	 @michaelsarver so do you give him every inch of your love every night?
1	230	 @mimbles @WParenthetical
1	231	' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
1	232	 @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET
1	233	- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
0	234	 @Oneshine What are u referring to?
0	235	 @plmusic22
1	236	- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol
1	237	 @RAPPUBLICIST HAPPY MOTHERS DAY!
1	238	- @raybooysen I knew Sharepoint was written by interns, I just knew it !! 
0	239	                                     I miss her so much already...
0	240	               just practising.....how I feel       
0	241	            Miss my love Jamie
0	242	          FUCK YOU!
0	243	        my head feels like a bowling ball
0	244	        my heart hurts badly...
0	245	       FS keeps crashing when I try to load Bungie plane.
0	246	      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
0	247	     ....    My mood is currently BLAH . Sitting in a parking lot
1	248	     I am happy     
0	249	    ...that is all.
0	250	    everyone went home. and not everyone was even here! ~CMF &lt;3
0	251	    fed up....
0	252	    fuck, fuck, fuuuuck!
0	253	    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!
0	254	   @Beansummer
0	255	   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt 
0	256	   bed time now....
1	257	   Faltam 4 dias para o World Drawing day
0	258	   Friends like these ... no thanks, I'm not fake! ^ ^
